,Word,CEFR_o,CEFR_j
757,teenager,A1,A2
758,telephone,A1,A1
759,television,A1,A1
760,tell,A1,A1
761,ten,A1,A1
762,tennis,A1,A1
763,terrible,A1,A1
764,test,A1,A1
765,text,A1,A2
766,than,A1,A1
767,thank,A1,A1
768,thanks,A1,A1
769,that,A1,A1
770,theater,A1,A1
771,their,A1,A1
772,them,A1,A1
773,then,A1,A1
774,there,A1,A1
775,they,A1,A1
776,thing,A1,A1
777,think,A1,A1
778,third,A1,A2
779,thirsty,A1,A2
780,thirteen,A1,A1
781,thirty,A1,A1
782,this,A1,A1
783,thousand,A1,A2
784,three,A1,A1
785,through,A1,A1
786,thursday,A1,
787,ticket,A1,A1
788,time,A1,A1
789,tired,A1,A1
790,title,A1,A2
791,to,A1,A1
792,today,A1,A1
793,together,A1,A1
794,toilet,A1,A1
795,tomato,A1,A1
796,tomorrow,A1,A1
797,tonight,A1,A1
798,too,A1,A1
799,tooth,A1,A1
800,topic,A1,A1
801,tourist,A1,A2
802,town,A1,A1
803,traffic,A1,A2
804,train,A1,A1
805,travel,A1,A1
806,tree,A1,A1
807,trip,A1,A1
808,truck,A1,A1
809,true,A1,A1
810,try,A1,A1
811,t-shirt,A1,
812,tuesday,A1,
813,turn,A1,A1
814,tv,A1,
815,twelve,A1,A1
816,twenty,A1,A1
817,twice,A1,A2
818,two,A1,A1
819,type,A1,A1
820,umbrella,A1,A1
821,uncle,A1,A1
822,under,A1,A1
823,understand,A1,A2
824,university,A1,A2
825,until,A1,A1
826,up,A1,A1
827,upstairs,A1,A2
828,us,A1,A1
829,use,A1,A1
830,useful,A1,A2
831,usually,A1,A1
832,vacation,A1,A1
833,vegetable,A1,A1
834,very,A1,A1
835,video,A1,A1
836,visit,A1,A1
837,visitor,A1,A2
838,wait,A1,A1
839,waiter,A1,A1
840,wake,A1,A1
841,walk,A1,A1
842,wall,A1,A1
843,want,A1,A1
844,warm,A1,A1
845,wash,A1,A1
846,watch,A1,A1
847,water,A1,A1
848,way,A1,A1
849,we,A1,A1
850,wear,A1,A1
851,weather,A1,A1
852,website,A1,A2
853,wednesday,A1,
854,week,A1,A1
855,weekend,A1,A1
856,welcome,A1,A1
857,well,A1,A1
858,west,A1,A2
859,what,A1,A1
860,when,A1,A1
861,where,A1,A1
862,which,A1,A1
863,white,A1,A1
864,who,A1,A1
865,why,A1,A1
866,wife,A1,A1
867,will,A1,A1
868,win,A1,A1
869,window,A1,A1
